rank,compute_s,comm_s,idle_s
0,0.3453,1.3906,0.0015
1,0.2632,1.4741,0.0000
2,0.3494,1.3808,0.0072
3,0.2451,1.4651,0.0272
4,0.3302,1.4057,0.0015
5,0.2496,1.4878,0.0000
6,0.3217,1.4085,0.0072
7,0.2295,1.4807,0.0272
8,0.3704,1.3655,0.0015
9,0.2470,1.4904,0.0000
10,0.3101,1.4202,0.0071
11,0.2097,1.5005,0.0272
12,0.3518,1.3841,0.0015
13,0.2543,1.4831,0.0000
14,0.3235,1.4067,0.0072
15,0.2278,1.4824,0.0272
16,0.3622,1.3737,0.0015
17,0.2610,1.4763,0.0000
18,0.3369,1.3934,0.0071
19,0.2378,1.4724,0.0272
20,0.3691,1.3668,0.0015
21,0.2311,1.5063,0.0000
22,0.3433,1.3870,0.0071
23,0.2355,1.4746,0.0272
24,0.3443,1.3916,0.0015
25,0.2488,1.4886,0.0000
26,0.3132,1.4170,0.0072
27,0.2240,1.4862,0.0272
28,0.3851,1.3508,0.0015
29,0.2536,1.4838,0.0000
30,0.3248,1.4054,0.0072
31,0.2485,1.4616,0.0272
32,0.3834,1.3525,0.0015
33,0.2667,1.4707,0.0000
34,0.3505,1.3797,0.0072
35,0.2487,1.4615,0.0272
36,0.3560,1.3799,0.0015
37,0.2523,1.4851,0.0000
38,0.3292,1.4010,0.0072
39,0.2500,1.4602,0.0272
40,0.3602,1.3757,0.0015
41,0.2479,1.4895,0.0000
42,0.2985,1.4317,0.0072
43,0.2298,1.4804,0.0272
44,0.3329,1.4030,0.0015
45,0.2471,1.4903,0.0000
46,0.3180,1.4122,0.0072
47,0.2310,1.4792,0.0272
