instance,n,optimal,mode,gens,best_len,gap_pct,time_s
eil51,51,426,greedy,5000,427,0.23,11.80
eil51,51,426,scratch,50000,426,0.00,102.22
st70,70,675,greedy,5000,675,0.00,10.94
st70,70,675,scratch,50000,675,0.00,104.67
rd100,100,7910,greedy,5000,8064,1.95,13.59
rd100,100,7910,scratch,50000,7910,0.00,120.98
lin105,105,14379,greedy,5000,14426,0.33,10.00
lin105,105,14379,scratch,50000,14379,0.00,107.53
ch130,130,6110,greedy,5000,6221,1.82,51.00
ch130,130,6110,scratch,50000,6192,1.34,146.56
pr144,144,58537,greedy,5000,58763,0.39,9.45
pr144,144,58537,scratch,50000,58537,0.00,130.37
ch150,150,6528,greedy,5000,6549,0.32,18.22
ch150,150,6528,scratch,50000,6549,0.32,117.69
u159,159,42080,greedy,5000,42745,1.58,11.55
u159,159,42080,scratch,50000,42259,0.43,139.19
rat195,195,2323,greedy,5000,2378,2.37,13.25
rat195,195,2323,scratch,50000,2384,2.63,102.51
kroA200,200,29368,greedy,5000,29541,0.59,9.84
kroA200,200,29368,scratch,50000,29689,1.09,149.83
