rank,n_cities,procs,gens,pop,compute_s,comm_s,total_s,makespan_s,best_len
0,2400,48,10500,200,122.5742,23.3804,145.9545,145.9678,18354.24
1,2400,48,10500,200,69.6283,76.3394,145.9676,145.9678,18354.24
2,2400,48,10500,200,91.7077,54.2523,145.9600,145.9678,18354.24
3,2400,48,10500,200,60.8857,81.9580,142.8436,145.9678,18354.24
4,2400,48,10500,200,122.7901,23.1644,145.9545,145.9678,18354.24
5,2400,48,10500,200,68.9981,76.9685,145.9667,145.9678,18354.24
6,2400,48,10500,200,91.0588,54.8980,145.9569,145.9678,18354.24
7,2400,48,10500,200,61.2434,81.6002,142.8436,145.9678,18354.24
8,2400,48,10500,200,120.8316,25.1229,145.9546,145.9678,18354.24
9,2400,48,10500,200,69.2392,76.7286,145.9678,145.9678,18354.24
10,2400,48,10500,200,91.1229,54.8377,145.9606,145.9678,18354.24
11,2400,48,10500,200,61.3060,81.5376,142.8436,145.9678,18354.24
12,2400,48,10500,200,122.8726,23.0819,145.9545,145.9678,18354.24
13,2400,48,10500,200,68.5523,77.4144,145.9666,145.9678,18354.24
14,2400,48,10500,200,90.5691,55.3876,145.9568,145.9678,18354.24
15,2400,48,10500,200,60.8016,82.0420,142.8436,145.9678,18354.24
16,2400,48,10500,200,121.7375,24.2169,145.9545,145.9678,18354.24
17,2400,48,10500,200,68.9358,77.0309,145.9667,145.9678,18354.24
18,2400,48,10500,200,92.8457,53.1142,145.9599,145.9678,18354.24
19,2400,48,10500,200,61.1779,81.6657,142.8436,145.9678,18354.24
20,2400,48,10500,200,123.0078,22.9466,145.9545,145.9678,18354.24
21,2400,48,10500,200,69.7364,76.2302,145.9666,145.9678,18354.24
22,2400,48,10500,200,90.8210,55.1359,145.9569,145.9678,18354.24
23,2400,48,10500,200,61.0029,81.8408,142.8436,145.9678,18354.24
24,2400,48,10500,200,121.3413,24.6132,145.9545,145.9678,18354.24
25,2400,48,10500,200,69.2137,76.7530,145.9667,145.9678,18354.24
26,2400,48,10500,200,93.6285,52.3265,145.9549,145.9678,18354.24
27,2400,48,10500,200,61.6367,81.2069,142.8436,145.9678,18354.24
28,2400,48,10500,200,122.7626,23.1919,145.9545,145.9678,18354.24
29,2400,48,10500,200,69.6608,76.3058,145.9667,145.9678,18354.24
30,2400,48,10500,200,93.4822,52.4724,145.9546,145.9678,18354.24
31,2400,48,10500,200,61.8482,80.9954,142.8436,145.9678,18354.24
32,2400,48,10500,200,122.0483,23.9063,145.9545,145.9678,18354.24
33,2400,48,10500,200,70.4199,75.5478,145.9676,145.9678,18354.24
34,2400,48,10500,200,93.9647,51.9953,145.9600,145.9678,18354.24
35,2400,48,10500,200,61.4835,81.3601,142.8436,145.9678,18354.24
36,2400,48,10500,200,123.6220,22.3325,145.9545,145.9678,18354.24
37,2400,48,10500,200,69.3508,76.6158,145.9667,145.9678,18354.24
38,2400,48,10500,200,91.6973,54.2595,145.9569,145.9678,18354.24
39,2400,48,10500,200,61.6823,81.1613,142.8436,145.9678,18354.24
40,2400,48,10500,200,122.1673,23.7872,145.9546,145.9678,18354.24
41,2400,48,10500,200,70.4685,75.4993,145.9678,145.9678,18354.24
42,2400,48,10500,200,92.5206,53.4400,145.9606,145.9678,18354.24
43,2400,48,10500,200,61.6479,81.1957,142.8436,145.9678,18354.24
44,2400,48,10500,200,121.8464,24.1080,145.9545,145.9678,18354.24
45,2400,48,10500,200,68.5142,77.4523,145.9665,145.9678,18354.24
46,2400,48,10500,200,92.3765,53.5803,145.9568,145.9678,18354.24
47,2400,48,10500,200,61.5053,81.3384,142.8436,145.9678,18354.24
