Islands (procs)  : 48  |  mode: partial global-best migration
Cities           : 2400, generations: 10500, population/island: 200
Best length      : 18354.24  (from island #23)
Time             : 145.97s
Comm time        : 58.8821s (avg/island)
Compute time     : 87.0857s (estimated = makespan - comm)
rank   compute_s   comm_s    total_s   pop
   0    122.574   23.3804   145.955   200
   1     69.628   76.3394   145.968   200
   2     91.708   54.2523   145.960   200
   3     60.886   81.9580   142.844   200
   4    122.790   23.1644   145.954   200
   5     68.998   76.9685   145.967   200
   6     91.059   54.8980   145.957   200
   7     61.243   81.6002   142.844   200
   8    120.832   25.1229   145.955   200
   9     69.239   76.7286   145.968   200
  10     91.123   54.8377   145.961   200
  11     61.306   81.5376   142.844   200
  12    122.873   23.0819   145.954   200
  13     68.552   77.4144   145.967   200
  14     90.569   55.3876   145.957   200
  15     60.802   82.0420   142.844   200
  16    121.738   24.2169   145.954   200
  17     68.936   77.0309   145.967   200
  18     92.846   53.1142   145.960   200
  19     61.178   81.6657   142.844   200
  20    123.008   22.9466   145.954   200
  21     69.736   76.2302   145.967   200
  22     90.821   55.1359   145.957   200
  23     61.003   81.8408   142.844   200
  24    121.341   24.6132   145.954   200
  25     69.214   76.7530   145.967   200
  26     93.628   52.3265   145.955   200
  27     61.637   81.2069   142.844   200
  28    122.763   23.1919   145.954   200
  29     69.661   76.3058   145.967   200
  30     93.482   52.4724   145.955   200
  31     61.848   80.9954   142.844   200
  32    122.048   23.9063   145.955   200
  33     70.420   75.5478   145.968   200
  34     93.965   51.9953   145.960   200
  35     61.484   81.3601   142.844   200
  36    123.622   22.3325   145.954   200
  37     69.351   76.6158   145.967   200
  38     91.697   54.2595   145.957   200
  39     61.682   81.1613   142.844   200
  40    122.167   23.7872   145.955   200
  41     70.469   75.4993   145.968   200
  42     92.521   53.4400   145.961   200
  43     61.648   81.1957   142.844   200
  44    121.846   24.1080   145.954   200
  45     68.514   77.4523   145.967   200
  46     92.377   53.5803   145.957   200
  47     61.505   81.3384   142.844   200
